Sloka,Class,EnglishTranslation
यस्मात् त्रस्यन्ति भूतानि मृगव्याधान्मृगा इव।                            सागरान्तामपि महीं लब्ध्वा स परिहीयते ॥                               ,Vidur Niti Slokas,Because the beings are frightened like deer hunterHaving obtained the earth even at the end of the ocean he is lost
एतान्यनिगृहीतानि  व्यापादयितुमप्यलम्।                            अविधेया इवादान्ता हयाः पथि कुसारथिम् ॥    ,Vidur Niti Slokas,It is also possible to torment these others.The horses are not to be found at the end of the scene on the road.
 यावत्स्वस्थो ह्यय देहः तावन्मृत्युश्च दूरतः।                                   तावदात्महितं कुर्यात् प्रणान्ते किं करिष्यति॥,Chanakya Slokas,As long as the body is healthy and death is far away.So then what will he do for his own welfare at the end of his life?
 ईश्वरस्य  स्मरणं प्रभाते उत्थाय अवश्यं  कर्तंव्यम् ॥  ,sanskrit-slogan,"Remembering the Lord in the morning, one must rise and do it."
 लोकयात्रा भयं लज्जा दाक्षिण्यं त्यागशीलता।                                   पञ्च यत्र न विद्यन्ते न कुर्यात्तत्र संगतिम् ॥,Chanakya Slokas,"The journey of the world, fear, shame, generosity, renunciation.Where there are no five, one should not associate with them."
 सा भार्या या सुचिदक्षा सा भार्या या पतिव्रता।                                  सा भार्या या पतिप्रीता सा भार्या सत्यवादिनी ॥,Chanakya Slokas,The wife who is well-eyes is the wife who is faithful to her husband.The wife who is pleased with her husband is the wife who speaks the truth
सहायबन्धना ह्यर्थाः सहायाश्चर्थबन्धनाः।                            अन्योऽन्यबन्धनावेतौ विनान्योऽन्यं न सिध्यतः॥    ,Vidur Niti Slokas,"They are bonds of help and help and are bonds of meaning.Without these two bonds of others, no one else will be accomplished."
  एकेनापि सुवर्ण पुष्पितेन सुगन्धिता।                                    वसितं तद्वनं सर्वं सुपुत्रेण कुलं यथा॥,Chanakya Slokas,It was fragrant with a single golden flowerThe whole forest lived in that forest like a family of a good son
 उपदेशो हि मूर्खणां प्रकोपाय न शान्तये ॥  ,sanskrit-slogan,The instruction of a fool is not for the sake of anger and not for peace.
मित्रं भुड्क्ते संविभज्याश्रितेभ्यो मितं स्वपित्यमितं  कर्म कृत्वा ।                            ददात्यमित्रेष्वपि याचितः संस्तमात्मवन्तं प्रजहत्यनर्थाः ॥                               ,Vidur Niti Slokas,"He eats a friend and divides himself into the body, and he does not perform his duties as he sleeps.He gives it to his friends and asks for the self-realized and abandons the self-realized."
 आत्मायत्तौ वृद्धिविनाशौ ॥   ,sanskrit-slogan,The two self-controls are increased and destroyed.
